orginal,translation
山僧 鉢盂形이 이 아니 宛然ꢁ가,산승 발우 형상이 이 아니 비슷한가
新溪寺 洞口 밧긔 막대 잡고 라보니,신계사 골입구 밖에서 막대 잡고 바라보니
層巖 疊障이 이 어인 形狀인고,층층 바위 겹겹 장벽이 이 어찌된 형상인가
眼中의 依依ꢀ야 面分니 쟝 닉다,눈에 어른어른 사귄 교분이 가장 도탑다
離別ꢁ 內金剛을 예 와 볼 줄 혜여시랴,이별한 내금강을 여기 와서 볼 줄 생각이나 했으랴
淸溪를 幾渡ꢀ야 玉流洞을 드러간고,맑은 시내 몇 번을 건너 옥류동을 들어갔던가
반가은 萬瀑洞을  어더 보리로다,반가운 만폭동을 또 얻어 보겠도다
夸夫로 運轉ꢁ가 壑舟로 욈견가,과보가 운전하게 하는가 학주로 옮겼는가
雄偉ꢁ 形勢 長短이 잇거니와,웅대한 형세는 길고 짧음이 있거니와
廣闊ꢁ 規模 이야 더 快活ꢀ다,광활한 규모는 여기가 더 쾌활하다
天地도 偏僻ꢀ고 造物도 多事샤,천지도 치우치고 조물주도 일 많구나
萬瀑洞 玉流洞을 內外에  내니,만폭동 옥류동을 안팎에 함께 내놓으니
遊客의 題品이 前後의 紛紜ꢀ다,유상객의 평가가 예도 지금도 분분하다
九龍沼 上下淵은  어이 竝設ꢁ고,구룡소 위 아래 못은 또 어찌하여 한곳에 갖추었나
雄壯도 雄壯ꢀ고 危險도 危險ꢀ다,웅장하기도 웅장하고 위험하기도 위험하다
蜿蜒 神物이 淵中의 겨시니,꿈틀꿈틀 신물이 못 속에 잠겨 있으니
네 萬一 變化ꢀ야 德施를 너비 ꢀ고,네 만일 변화하여 덕 베풀기를 널리 하고
數千里 東方의 雨順風調ꢀ게 ꢀ면,수천 리 동방에 비와 바람 순조롭게 하면
人民의 崇奉홈이 東南海神 홀로 ꢀ랴,백성들의 떠받듦이 동남 해신에게만 그러하랴
엇디타 乾二爻를 取象치 아니ꢀ고,어찌하여 세상 밝히는 현룡의 형상 취하지 않고
無浪ꢁ 遊山客의 指點만 ꢀ이다,허랑한 유산객의 가리킴만 하게 하는가
頷下의 明月珠를 날 ꢀ나식 화 주어,턱 아래 명월주를 내게 하나씩 나눠 주어
筆頭 波瀾의 珠玉을 품게 ꢀ렴,붓끝으로 뛰어난 문장 짓게 하는 보물구슬 품게 하렴
逸興은 無窮ꢀ고 夕陽은 빗겨셰라,빼어난 흥취 무궁하고 저녁볕은 기우는구나
靑山裏 水聲中의 밧비 거러 려 와셔,청산 속 물소리 들으며 바삐 걸어 내려 와서
玉洞을 下直ꢀ고 三日浦로 도라셔니,옥류동을 하직하고 삼일포로 돌아서니
東海 앏 잇고 金剛은 뒤희 잇다,동해는 앞에 있고 금강산은 뒤에 있다
僕夫 分付ꢀ야 征馬를 모지 마라,종복에게 분부하되 먼 길 갈 말 몰지 마라
一步 一回ꢀ니 遲遲타 吾行이여,걸음마다 돌아보니 더디도다 나의 행로여
溪聲을 못 드르니 漸漸 먼 줄 칠로다,시냇물 소리 못 들으니 점점 멀어지는 줄 깨닫겠도다
白日은 無情ꢀ야 西嶺을 지나가고,환하던 해는 무정하여 서녘 고개를 넘어가고
烟霧 무 일로 孱顔을 츠다,안개는 무슨 일로 험준한 산을 감추는가
惜別 無限 情은 갈록 쳐셰라,아쉬운 이별에 무한한 정은 갈수록 맺히는구나
뭇노라 溪神 山靈 내 懷抱 아슨다,묻노라 냇물신 산정령이여 내 회포 아는 건가
宿債 못다 갑고 新債 다시 지니,묵을 빚을 못다 갚고 새 빚을 다시 지니
四仙亭 後嶺 우희 도라셔셔 라보니,사선정 뒷고개 위에서 돌아서서 바라보니
澗水 東流ꢀ야 歸客을 로 ,계곡물은 동으로 흘러 돌아가는 길손을 따르는 듯
翠眉 攢愁ꢀ야 離恨을 엿도다,버들잎은 시름을 모아 이별의 한을 띠었도다
東南이 絶遠ꢀ야 終老約을 못 니,동남쪽이 멀리 떨어져 늘그막 기약을 못 맺으니
文字로 記錄ꢀ고 畵筆로 그려내여,문자로 기록하고 그림으로 그려내어
常目在之ꢀ야 不忘資를 삼으리라,어느 때고 눈앞에 두어 못잊을 자산 삼으리라
九郡 八景을 歷路의 보아 가며,아홉 군 여덟 경관을 지나는 길에 보아 가며
다치 못ꢁ 나믄 興이 雪嶽山을 자 가셔,다하지 못한 남은 흥이 설악산을 찾아 가서
彷佛ꢁ 네 얼굴을 다시 보고 반길로다,흡사한 네 얼굴을 다시 보고 반기겠노라
내 집이 靈巖이라 月出山 아로다,내 집이 영암이라 월출산 아래도다
小金剛 名稱이 善形容ꢀ단 말이,소금강 명칭이 형용 잘했다는 말이
이 아 卜居ꢀ니 네 顔面을 차리로다,이 아래 깃들어 사니 네 얼굴을 찾으리로다
戀戀ꢁ 깁픈 情을 片夢中의 부치리라,연연한 깊은 정을 조각꿈 속에 부치리라
아마도 此生 未死前의 다시 갈가 ꢀ노라,아마도 이번 생 다하기 전에 다시 갈까 하노라
일신一身의 병病이 드러 만사萬事에 흥황興況 업셔,일신에 병이 들어 만사에 흥미가 없어
죽림竹林 깁픈 곳의 원학猿鶴을 벗슬 삼마,대숲 깊은 곳에 원숭이와 학 벗을 삼아
십년十年 셔창書窓의 고인시古人詩이로다,십 년 서생 생활에 옛사람 시 뿐이로다
일생호입一生好入 명산곡名山曲을 우연偶然히 기리 을퍼,일생 동안 명산에 들어 놀기 좋아했다는 노래 우연히 길게 읊어
만고萬古 시호詩豪을 녁녁歷歷히 허여 본이,만고의 시 호걸들 낱낱이 헤아려 보니
팔션八仙 쳔재후千載後에 니을 이 긔 뉜 게요,여덟 신선 천 년 후에 이을 이 그 누구인가
강산江山 풍월風月이 한가閑暇ꢀ 지 여러 해여,강과 산 바람과 달이 한가한 지 여러 해여서
분분세사紛紛世事 나도 슬여 풍월쥬인風月主人되랴 ꢁ야,어지러운 세상사 나도 싫어 풍월주인 되려 하여
명구名區 션경仙境이 반공半空 얼른얼른,이름난 곳 신선 사는 곳이 공중에 어른어른
명구名區 션경仙境에 반세半世를 늙어 잇다,이름난 곳 신선 사는 곳에 반평생 늙어 있다
젼산前山 아 비얘 쵸목草木이 만발滿發이라,앞산 아침 비에 초목이 만발해서
산화山花 피온 곳이 흥미興味도 하고 만타,산꽃 피어난 곳이 흥취 묘미 많기도 많구나
학鶴 우의 선자仙子들은 이 에 만나 보아,학을 탄 신선들을 이 때에 만나 보아
항금단黃金丹 지어 내여 삼동계參同契 뭇쟈 ꢁ야,황금 단약 만들어 내어 참동계 묻고자 하여
송뇨松醪을 박타 내여 일렵편쥬一葉片舟 실어 두고,솔잎 술을 걸러 내어 일엽편주에 실어 두고
말니萬里 연파烟波의 임의任意로 워 내이,만 리 안개 속에 내맡겨 띄워 내니
엽셔 화담花潭은 망안望眼의 가경佳境ㅣ요,꽃그림자 어리는 물은 바라보느니 멋진 경개요
백빈白蘋 홍뇨紅蓼 단도短棹의 향긔香氣로다,흰 마름풀 붉은 여뀌는 짧은 노에 향기 어리도다
산형山形도 됴컨이와 슈셰水勢도 이 업다,산 형상도 좋거니와 물 형세도 끝이 없다
쳥강淸江 백구白鷗야 문노라 가 길이,맑은 강 갈매기야 묻노라 가는 길이
삼신산三神山 린 활기 이리로쇼 어듸 멀며,삼신산에서 내린 기운 여기인들 어디 멀 것이며
도원도桃園島 지 곳은 언의 물로 리고,무릉도원 섬 지나간 곳은 어느 물로 내리는가
계도桂棹을 흘리 져어 가 대로 노하스라,계수나무 삿대 편히 저어 가는 대로 놓아두노라
년회連回 고면顧眄ꢁ야 곳곳지 지졈持點 제,연신 고개를 돌려 곳곳을 점찍어 둘 때
샹운祥雲 일편一片이 해쳔海天의 검어 이셔,상서로운 구름 한 조각이 바다 위에 검게 떠 있어
온자溫藉ꢀ 학鶴의 소 십니十里의 들니거,온화 인자한 학의 소리 십 리에 들리거늘
난도蘭掉을 리 저어 시 들어가니,신선의 삿대를 빨리 저어 나는 듯 들어가니
부용화芙蓉花 퓌운 거동擧動 반공半空의 소사,연꽃 피어나 우뚝이 공중에 솟았는데
올저 듯던 그 솔의 잇 히셔 나실셰라,흐뭇이 듣던 그 소리 이 땅에서 생겨났구나
평사平沙의 닷슬 주고 하彩霞을 헷쳐 보니,평평한 모래에 닻을 내리고 채색 노을을 헤쳐 보니
알에 물 우희 그 이 쳔쳑千尺이라,들판 아래 물 위 그 사이가 천 자로다
긔성氣象이 만쳔滿天이라 파능巴陵이 이갓든가,기운과 형상 하늘 가득하니 파릉 절경이 이 같은가
대은 그 알홈이 이졔 보니 과연果然ꢁ다,대강은 그 알았지만 이제 보니 과연 그러하도다
연하烟霞와 긔 려 셕노石路로 올나가니,안개 노을과 함께 내려 돌길로 올라가니
경화瓊花 요초瑤草 곳곳의 깁퍼 잇고,선경에 피는 꽃이며 초목 곳곳에 펼쳐져 있고
옥뎐玉殿 금金莖은 골골이 널려 잇다,옥 전각 황금 기둥 골골에 널려 있다
한졔금갱漢帝金莖 언의 예 잇  옴계시며,한나라 황제 황금 기둥 어느 때 이 땅에 옮겼으며
와황보쳔媧皇補天 어이 ꢁ야 해쳔海天에 어진고,무너진 하늘 메웠다더니 어이 하여 바다에 떨어졌는가
죠코도 근 긔상氣象 도 시고,깨끗하고도 맑은 기상 갖추기도 갖추었구나
셕쟉년화石作蓮花 운작雲作臺 이런  이롬이,돌로 지은 연화대 구름으로 만든 누대는 이런 곳을 이름이라
애미산蛾媚山 젹벽강赤壁江의 츄경츄상秋景秋狀 이러ꢀ저,아미산 적벽강의 가을 경치 가을 형상이 이렇겠도다
적송赤松子 안긔상安期生은 우화등션羽化登仙 예와 ꢀ가,적송자와 안기생은 신선 된 것 여기에 와 한 것인가
반산半山의 흘러 쉬여 제일봉第一峰 올라 가이,산 중턱에 편히 쉬다 제일봉에 올라 가니
일진一陣 션풍仙風이 양액兩腋의 빅기 부러,한줄기 신선이 타는 바람 양 어깨에 비껴 불어
표표飄飄 쌍메雙袂예 심신心身이 쳥냉淸冷ꢀ니,아득히 양 소매에 스며 심신이 맑아지니
봉구蓬丘 소삭消息을 거의 안니 드을쏘냐,봉래산 소식을 거의 아니 듣겠는가
왕王子 요瑤臺예 벽도碧桃만 늘거 잇고,왕이 앉던 구슬 누대에 천도복숭아만 늙어 있고
냥열兩列 셕구石臼의 하彩霞만 겨 잇다,양쪽에 열지어 놓인 돌절구 채색 노을만 잠겨 있다
셕각石角을 노피 베고 경海景을 다시 보이,뾰족한 돌모서리 높이 베고 바다 풍광을 다시 보니
표묘漂渺ꢀ 동명샹東溟上의 만텹강산萬疊江山 여긔저긔,아득한 동쪽 바다 위에 만 겹 강산이 여기저기
창망滄茫ꢀ 운ꢁ雲海가의 닐편어쥐一片漁舟 오락가락,넓고도 아득한 구름 바닷가에 한조각 고깃배 오락가락
안져眼底의 모 경景이 色色이 쟈랑ꢁ이,눈 아래 모든 경관이 저마다 빛깔을 자랑하니
건곤乾坤의 이 조화造化을 뉘라셔 아러 보리,하늘과 땅의 이 조화를 누구에게 알아 보리
셩관星冠 월패月佩을 애나 보쟈 ꢁ야,별 관모 달 노리개를 꿈에나 보자 하여
송근松根을 놉피 베고 낫잠을 잠간暫間 드니,소나무 뿌리 높이 베고 낮잠을 잠깐 드니
청동靑童이 나을 잡여 봉내산蓬萊山 건너 뵈,청의동자가 나를 잡고서 봉래산 건너 보이니
송뇨쥬松醪酒  부어 나 잡고 저 권勸 제,솔잎술 가득 부어 나 잡고 저 권할 때
장생게長生揭 믓 말을 반튼 채 못들어,장생 비법 묻던 말을 반도 채 못 들어
구고九臯 일셩一聲의 션몽仙夢을 놀나 이,천상 연못의 한소리에 신선 꿈을 놀라 깨니
장연長烟이 일공一空ꢀ 호월皓月이 쳘니千里로다,길다란 안개 하늘에 드리워져 흰 달이 천 리로다
화졍霞汀의 멸파滅波ꢁ고 수로水路도 무변無邊ꢁ다,노을진 물가 파도를 재우고 물길도 끝이 없구나
애장牙檣을 다시 며 만화도萬花島로 려간이,상아 삿대 다시 꾸며 만화도로 내려가니
산음山陰 셜야雪夜의 유子猶의 호흥豪興이라,산 북쪽 눈내린 밤 자유의 호쾌한 흥취로다
셕강石江 츄월秋月의 야白也의 시졍詩情이라,석강 가을 달빛 아래 백야의 시 정취로다
지낸 경景도 됴컨이와 밤 경景이 더옥 됴타,지나온 경관도 좋거니와 밤 경관이 더욱 좋다
사변沙邊의 자던 구로鷗鷺 됴셩潮聲의 졀로 여,물가에서 자던 갈매기 파도 소리에 절로 깨어
삼강三江 연월烟月의 긔 놀자 우 ,삼강의 안갯속 달과 함께 놀자 우니는 듯
슈져水底의 노던 상애湘娥 요슬瑤瑟을 아 졔,물 아래 놀던 달이 구슬 비파를 연주할 때
남풍南風 오현五絃의 셩음聖音을 젼傳ꢁ ,남풍 실은 다섯 현으로 성스러운 음을 전하는 듯
괴예扣抴 승류乘流ꢁ야 흥興겨워 머물을 졔,뱃전 두드러며 물결 타고 흥겨워 머무를 때
셔산西山의 이 지고 동곡東谷의 날이 나니,서산에 달이 지고 동쪽 골짜기에 해가 나니
금파金波을 탕양蕩漾ꢁ야 만강滿江이 능란凌亂 졔,금빛 파도 넘실거려 온 강이 뒤섞여 어지러울 때
연져烟渚의 을 고 낙화落花을 아 드이,안개 낀 물가에 배를 매고 떨어지는 꽃잎을 따라 들어가니
새벽 안개  이이 초의草衣예 저즐셰라,새벽 안개 찬 이슬이 풀옷에 젖을까 싶구나
산하山下 벽도碧桃 녯 봄을 그져 여 흣 쥐인主人을 기리고,산 아래 천도복숭아는 옛 봄을 그냥 뛰어 뒷 주인을 기다리도
곡니谷裏 유란幽蘭은 람 긋테 향긔香氣로 날리은 닷 알와 ,골자기 속 그윽한 난초는 바람 끝에 향기로 날리는 듯 알리는 듯
해海客은 무심無心ꢁ야 구白鷗을 우거을,바다 유랑객은 무심하여 갈매기를 따르거늘
션인仙人은 어 가고 황학黃鶴만 남안고,신선은 어디 가고 황학만 남았는가
화향白花香 흣든 곳의 옥쇼玉簫을 빅기 부이,백화향 흩어지는 곳에서 옥피리를 비껴 부니
뱍碧海 쳥쳔靑天의 학白鶴이 라든다,푸른 바다 파란 하늘에 백학이 날아든다
어와 황홀恍惚ꢁ야 내 아니 신션神仙인가,어와 황홀하여 내 아니 신선인가
일쥬一盃酒 로 부어 醉토록 머근 후後의,한 잔 술 자주 부어 취하도록 먹은 후에
삼화루三花樓 비겨 안저 물 밋 그버보니,삼화루에 비껴 앉아 물 밑을 굽어보니
월계越溪의 싯던 비단 어 물의 밀려 오며,월나라 시내에 씻던 비단 어느 물에 밀려 오며
낙포洛浦의 던 선녀仙女 어이ꢁ야 잠긴 계뇨,낙포에서 날던 선녀 어이하여 잠긴 것인가
슈水色도 긔이奇異ꢁ다 다시곰 살펴보니,물빛도 기이하다 다시금 살펴보니
호산湖山의 픠온 고시 물 아래 빗셔라,호산에 피어난 꽃이 물 아래 비치는도다
 업 이 경개景槪을 일폭一幅의 옴겨 내여,끝 없는 이 경개를 한폭에 옮겨 내어
셔시西施와 안긔安期 뵈여 대동젼大同殿의 보내딘,서시와 안기에게 보여 대동전에 보내진들
오뇽五龍의 그린 가릉嘉陵 이 산수山水와 엇덜런고,오룡이 그린 가릉의 풍광 이 산수와 어떠할는지
풍광風光도 ꢀ限이 업고 의사意思도 그지업다,풍광도 한이 없고 생각도 끝이 없다
도사 이내 몸이 션화仙化의 연분緣分 업셔,슬프구나 이내 몸이 신선될 연분이 없어
진심塵心이 미진未盡ꢁ야 향관鄕關을 각ꢁ여,세속의 마음 떨치지 못해 고향을 생각하여
강산江山의 후긔後期 두고 구白鷗와 셔盟誓ꢁ야,강산을 뒷날에 기약해 두고 갈매기와 맹세하여
허쥐虛舟을 다시 라 오던 길노 자오니,빈 배를 다시 타고 왔던 길로 찾아오니
못다 본 나믄 경景을 글귀예 영냥領量ꢁ이,못다 본 남은 경치를 글귀에 담아내니
도긔려지 호구狐裘 천만고千萬古의 과연果然ꢁ다,오래 입은 여우 갖옷 오랜 세월에 과연 그러하도다
산창山窓을 다시 고 섬히 누어시이,산으로 난 창 다시 닫고 편안히 누워 있으니
말니萬里 강쳔江天의 몽흔夢魂만 자 잇다,만 리 강과 하늘에 꿈속 혼만 잦아 있다
엇지타 갑업 강산풍월江山風月을 졀로 가게 ꢁ고,어찌하여 값 매길 수 없는 강산풍월을 절로 가게 하는가
어와 져 娘子ㅣ야 내 말 드러보소,어와 저 낭자야 내 말을 들어보소
烟火에 뭇쳐신 宿緣이야 이즐소냐,연화에 묻혀있은들 숙연이야 잊겠는가
洛浦仙女 보랴ꢀ면 前生에 네 아닌다,낙포 선녀 보려하면 전생에 너 아닌가
南關布衣 白面生도 仙客인 줄 뉘 알니오,남관 벼슬 없는 선비 백면생도 선객인 줄 뉘 알겠는가
蟠挑春色 瑤池宴에 도적ꢁ 이 네언마는,반도춘색의 요지연에 마음 뺏긴 이 너이언마는
與受를 同罪ꢀ니 너와 나와 謫下로다,여수를 동죄하니 너와 내가 귀양옴이로다
滄茫ꢁ 九點烟에 參商이 난호이니,창망한 구점연에 삼상으로 나누이니
碧海水 洋洋ꢀ야 一帶 銀河 되어 잇다,벽해수 양양하여 한 띠 은하수 되어 있다
너도 나를 보랴 ꢀ면 八嶺이 疊疊ꢀ고,너도 나를 보려 하면 팔령이 겹겹이고
나도 너를 보랴 ꢀ면 三山이 杳杳ꢀ다,나도 너를 보려 하면 삼산이 묘묘하다
平生에 恨이 되고 寤寐예 願ꢀ더니,평생의 한이 되고 자나깨나 원하였더니
玉皇이 感動ꢁ지 仙官이 斗護ꢁ지,옥황이 감동한지 선관이 보호한지
太乙의 蓮葉舡에 風帆을 놉히 달아,태을의 연엽배에 바람 돛을 높이 달아
六鰲鬚에 를 고 瀛洲山에 드러오니,육오수에 배를 매고 영주산에 들어오니
仙區物色은 琪樹와 瑤花ㅣ로다,선계 물색은 기수와 요화로다
風景도 됴커니와 好因緣이 더욱 됴타,풍경도 좋거니와 좋은 인연 더욱 좋다
芙容顔 柳葉眉는 前生과 ꢁ 빗치오,부용얼굴 버들눈썹 전생과 같은 빛이요
綠雲鬂 玉雪肌 塵態가 전혀 업다,녹운빈 옥설피부는 진태가 전혀 없다
定遠樓 은 에 月姥絲를 자아내야,정원루 밝은 달의 월노사를 지어내어
鸎啼燕語 花柳節에 楚臺 雲雨 多情ꢀ니,앵제연어 꽃피는 계절 초나라 누대 운우지정 다정하니
人間에 四月 八日 天上에 七日일다,인간의 사월 팔일 천상에 칠일이라
사랑도 그지업고 態度도 가즐시고,사랑도 그지없고 태도도 갖출시고
娼條冶葉은 王郞의 玉檀인 ,창조야엽은 옥랑의 옥단인 듯
舞袖纖腰는 小游의 鸎鴻인 ,무희 옷소매 가느다란 허리는 소유의 앵홍인 듯
淸楊은 眞眞이오 丹唇은 娉娉이라,푸른 버들은 진진이요 붉은 입술은 빙빙이라
깁흔 사랑 고은 態度 比 듸 젼혀 업다,깊은 사랑 고운 태도 비할 데 전혀 없다
綠水春波 깁흔 곳에 노는 鴛鴦  잇 ,녹수 춘파 깊은 곳에 노는 원앙 떠 있는 듯
紅葩 瓊蘂 灼灼ꢁ 듸 나는 蝴蝶 머무 ,홍파 경예 작작한데 나는 호접 머무는 듯
芙容帳 들리후고 合歡夢 일울 적의,부용장 드리우고 합환의 꿈 이룰 적에
羅衫을 후려잡고 細語로 하 말,비단 적삼 부여잡고 가늘게 귀에말 하신 말씀
靑山이 不老ꢀ고 綠水ㅣ 長存이라,청산이 늙지 않고 녹수가 길게 유존하리라
前生此生 굿은 연분 百年으로 긔약ꢀ고,전생 이생 굳은 연분 백년을 기약하고
後生에 갈지라도 나지 마오리라,후생에 갈지라도 떠나지 마오리라
너는 주거 弄玉이오 나는 주거 子晋이라,너는 죽어 농옥이오 나는 죽어 자진이라
남기 되면 蓮理枝오 고기 되면 比目魚ㅣ라,나무 되면 연리지요 고기 되면 비목어라
山盟海誓 깁히 ꢀ고 天定佳緣 밋엇더니,산맹 해서 깊이 하고 천정가연 믿었더니
新情이 未洽ꢀ야 中道改路 무 일고,새로운 정이 미흡하여 중도개로 무슨 일인가
山鷄 野鶩 本情性이 路柳墻花 도로 되니,산계 야목 본정성이 노류장화 헛수고 되니
芳盟도 浮雲이오 사랑도 春夢이라,꽃다운 맹세도 뜬구름이오 사랑도 춘몽이라
城中 一步地예 三千 弱水 茫茫ꢀ니,성안 한 발자국 땅에 삼천 약수 아득하니
靑山眉 細柳腰는 뉘게 뉘게 獻態ꢀ여,청산같은 눈썹 버들같은 허리 누구누구 보여주어
金步搖 碧甸環은 어듸 어듸 노니고,금보요 벽전환은 어디 어디 노니는가
靑鳥는 아니 오고 杜鵑이 슬피 울 제,청조는 오지 않고 두견이 슬피 울 때
旅舘寒燈 寂寞ꢁ듸 온 가슴에 불이 난다,여관의 차가운 불빛 적막한 데 온 가슴에 불이 난다
이 불을 뉘 리오 님 아니면   업고,이 불을 누가 끄리오 임 아니면 끌 길 없고
이 병을 뉘 곳치리 님이라야 扁鵲이라,이 병을 누가 고치겠는가 임이라야 편작이라
친  외사랑은 나는 졈졈 깁건마,맺친 마음 외사랑은 나는 점점 깊건마는
無心 이 님이야 虛浪코도 薄情ꢀ다,무심하신 이 임이여 허황하고도 박정하다
三更에 못 든 잠을 四更에 계오 드러,삼경에 못 든 잠을 사경에 겨우 들어
蝶馬를 놉히 달녀 녯 길흘 자 가니,접마를 높이 달려 옛 길을 찾아 가니
月態 花容을 반가이 만나 보고,달 같은 자태와 꽃 같은 얼굴을 반갑게 만나보고
千愁 萬恨을 歷歷히 ꢀ렷더니,천수의 깊은 한을 역력히 하였더니
窓前碧梧 疎雨聲에 三魂이 흣터지니,창 앞 벽오동 성긴 빗소리에 삼혼이 흩어지니
落月이 蒼蒼ꢁ 듸 三五小星 이로다,달빛이 창창한데 삼삼오오 작은 별 뿐이로다
어와 내 일이야 진실로 可笑로다,어와 내 일이야 진실로 가소롭다
너도 각ꢀ면 뉘웃츰이 이시리라,너도 생각하면 뉘우침이 있으리라
黃玉京에 올나 가셔 上帝 復命 제,황옥경에 올라가서 상제께 복명할 때
이 말 다 알외면 네 죄가 즁ꢀ리라,이 말씀 다 아뢰면 네 죄가 중하리라
다시곰 각ꢀ야 回心을 두온 후에,다시금 생각하여 회심을 두온 후에
三生宿緣을 져리지 말게 ꢀ라,삼생의 인연을 저버리지 말게 하라
어유와 계장님 이 기음 아스라,어와 계장님들 이 김을 매자꾸나
기음노  브름,김매기 노래 내가 부르리
텬지 삼기실 제 사이 갓치 나니,천지天地 생겨날 때 사람이 같이 태어나니
너르나 너른 텬하 만흐나 만흔 사,넓고도 넓은 천하 많고도 많은 사람
현우가 다르거니 귀쳔이 갓틀손가,어질고 어리석음이 다르기에 귀천貴賤이 같을까
셩인이 법을 지어 민을 난호시니,성인聖人이 법을 만들어 사민四民을 나누시니
실 닥고 글 닑기 션님  일이오,행실 닦고 글 읽기는 선비님들 할 일이요
들기 쟝인이오 밧고기 쟝로다,만들기는 장인이요 바꾸기는 장사로다
치치ꢀ 우리들은  일이 무어신고,하찮은 우리들은 할 일이 무엇인가
속미와 포루 고금의 ꢀ 법이니,속미와 포로는 고금古今에 한 법이니
복젼 녁이 이 아니 근본인가,복전 역색이 이 아니 근본인가
종년 작고 슈곤 줄도 알건마,종년 작고 수고로운 줄도 알지마는
앙부휵이 이 아니면 어이ꢁ리,앙사부육仰事俯育이 이 아니면 어찌하리
챵경이 처엄 울고 닙히 풀을 적의,꾀꼬리가 처음 울고 뽕잎이 푸를 적에
동풍은 습습ꢁ고 셰우 몽몽ꢀ,동풍東風은 산들하고 가랑비는 자욱한데
밧츠로 가쟈셔라 혀 잇  일흘셔라,밭으로 가자꾸나 행여 이 때 놓칠세라
송아지 먹거냐 은 셔 가고나,송아지 먹였느냐 남은 벌써 가는구나
자 거름 다 간가 우리 씨앗 난화 가소,자네 거름 다 가져갔나 우리 씨앗 나누어 가소
압집 보십 뒤집 쟝기 션후 닷툴손가,앞집 보습 뒷집 쟁기 선후를 다툴까
놉흔 언덕 나즌 이랑 례로 일운 후의,높은 언덕 낮은 이랑 차례로 일군 후에
고로로 여셔라 여 뷘  이슬셰라,골고루 씨 뿌려라 행여 빈 곳 있을까
이삭이 비록 션들 갓고와야 아니 되랴,이삭이 비록 난들 가꾸어야 아니 될까
엇그제 갓  기음 어 이 셔 기,엊그제 갓 맨 김이 어느 사이 벌써 길었네
을을 라거니 세벌 슈고 릴손가,가을을 바라거니 세벌 수고 꺼릴까
 흙  풀속 샹하로 오락가락,끓는 흙 찌는 풀속 상하로 오락가락
호뮈도 녹으려든 혈육이 견소냐,호미도 녹을 정도니 혈육이 견딜까
오뉵월 삼복더위 으로 낫츨 고,오뉴월 삼복더위 땀으로 얼굴을 씻고
헌 삿갓 코듕의 열양을 막을소냐,헌 삿갓 쇠코홑바지 열기를 막을까
보리술 건듯 니 코노도 경이 업,보리술 잠깐 깨니 콧노래도 틈이 없네
븕은 다락 프른 난간 놉은 벼 둥근 부체,붉은 다락 푸른 난간 높은 베개 둥근 부채
누으락 안즈락 가 가난 긔 뉘 알니,누을락 앉을락 농사 가난 그 누가 알리
비 오면 쟝마질가 볏 나면 가믈셰라,비 오면 장마질까 볕 나면 가물까
독ꢀ 안 모진 람 시름도 하도 샤,짙은 안개 모진 바람 시름도 많기도 많구나
츄풍이 건듯 브러 뇌 위상ꢁ니,가을바람 잠깐 불어 백로白露에 서리 내리니
들 가온 누른 구름 네녁흐로 ꢀ 빗치라,들 가운데 누런 구름 사방으로 한 빛이라
왼 녀름 주린 속 먹지 아녀 졀노 부릐,온 여름 주렸던 뱃속 먹지 않아도 절로 배부르네
이른 논의 참 무리 느즌 노의 기러기 ,이른 논에 참새 무리 늦은 논에 기러기 떼
의 자 모로기 얄뮈올손 즘이라,남의 속 모르기는 얄미운 것은 짐승이라
일은 들 거두 새벽밥 일즉 ꢁ소,내일을 들 거두자 새벽밥 일찍 하소
낫 갈아 손의 들고 지게 며 등의 걸고,낫 갈아 손에 들고 지게 차려 증에 걸고
뷔거니 묵거니 이거니 디거니,베거니 묶거니 이거니 지거니
졈으신 도리질 늙으신 그늬274)질,젊으신 분 도리깨질 늙으신 분 그네질
셔 우기 삿기  어즈러이 구지고,섬 욱이네 새끼 꼬네 어지럽게 구는구나
자내 밧희 몃 뭇신고 내 논 소츌 이 일,자네 밭에 몇 묶음인가 내 논 소출所出 이 뿐일세
공 다 갈희면 남은 거시 언마칠고,공채 사채 다 갚으면 남은 것이 얼마일까
어유와 계장님 이 내 말 드러보소,어와 계장님들 이 내 말씀 들어보소
죵년 토록 슈고타가 하로 결을 못 어들가,한 해 동안 수고하다가 하루 겨를 못 얻을까
건넌 동 을 ꢁ고 넘언 마을 술을 빗소,건너 동네 떡을 하고 너머 마을 술을 빚소
울 뒤희 밤이 벌고 마당가희 대쵸 듯,울타리 뒤에 밤이 벌어지고 마당가에 대초 떨어지네
게 이  살모니 가지가지 향미로다,게 찌니 닭 삶으니 가지가지 냄새로다
룡복기 봉탕인들 이에셔 나을손가,양볶이 봉탕鳳湯인들 이보다 나을까
김풍헌 니약졍을 좌상으로 뫼신 후의,김풍헌 이약정을 상석으로 모신 후에
헌 펴랑이 뵈 무즙이 례로 안즌 후의,헌 패랭이 베 무지렁이 차례로 앉은 후에
질동의 나아노코 족박 잔 득 부어,질동이 내어놓고 쪽박 잔 가득 부어
잡거니 밀거니 양ꢁ며 츄션가,잡거니 밀거니 사양하며 추선할까
믈쟝구 초김 피리 곡됴도 죠흘시고,물장구 초금草琴 피리 곡조도 좋구나
술김의 흥이 나니 되춤이 절노 난다,술김에 흥이 나니 되롱춤이 절로 난다
